REPUBLICAN,DEM,year,state,state_po,county_name,county_fips,candidatevotes
3926,2744,2020,NEBRASKA,NE,DAKOTA,31043,6794
16734,4555,2020,NEVADA,NV,ELKO,32007,21957
3647,4391,2008,VIRGINIA,VA,NELSON,51125,8133
20004,10159,2020,SOUTH CAROLINA,SC,LAURENS,45059,30488
12826,4181,2012,TEXAS,TX,LAMAR,48277,17197
44662,18025,2016,GEORGIA,GA,PAULDING,13223,64890
1895,500,2000,NEBRASKA,NE,STANTON,31167,2486
6537,1998,2020,WEST VIRGINIA,WV,MORGAN,54065,8695
10306,8561,2000,IOWA,IA,DALLAS,19049,19330
15092,6458,2012,MISSOURI,MO,CAMDEN,29029,21945
2062,1474,2008,ARKANSAS,AR,NEVADA,5099,3635
5674,3193,2020,TENNESSEE,TN,LAUDERDALE,47097,8965
2311,1064,2004,GEORGIA,GA,CHARLTON,13049,3387
191913,208016,2012,MICHIGAN,MI,MACOMB,26099,404086
9266,4041,2000,COLORADO,CO,MONTROSE,8085,14215
1548,566,2008,OKLAHOMA,OK,GREER,40055,2114
9676,7326,2020,NORTH CAROLINA,NC,BLADEN,37017,17125
3286,1117,2008,COLORADO,CO,YUMA,8125,4483
3387,6695,2012,NORTH CAROLINA,NC,BERTIE,37015,10123
27489,8457,2020,PENNSYLVANIA,PA,ARMSTRONG,42005,36370
11294,4273,2016,ARKANSAS,AR,MILLER,5091,16091
37590,57970,2020,NEW YORK,NY,ULSTER,36111,98160
10960,13372,2004,IOWA,IA,CERRO GORDO,19033,24516
136582,188592,2016,NEW YORK,NY,MONROE,36055,347790
3524,956,2020,TEXAS,TX,WILBARGER,48487,4524
1111,179,2016,NORTH DAKOTA,ND,KIDDER,38043,1376
2969,719,2008,TEXAS,TX,PARMER,48369,3713
7034,3619,2020,GEORGIA,GA,GRADY,13131,10707
7429,5250,2008,ILLINOIS,IL,LOGAN,17107,12896
5688,2852,2000,NEBRASKA,NE,SAUNDERS,31155,8919
11931,3927,2000,NEBRASKA,NE,BUFFALO,31019,16461
5058,2400,2004,MISSOURI,MO,COOPER,29053,7508
4182,3167,2012,GEORGIA,GA,CRISP,13081,7396
9039,10305,2004,LOUISIANA,LA,ST. JOHN THE BAPTIST,22095,19617
16910,5785,2016,TENNESSEE,TN,TIPTON,47167,23481
25370,9728,2012,MISSOURI,MO,CAPE GIRARDEAU,29031,35716
1804,441,2016,KANSAS,KS,GRANT,20067,2389
